date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-08-25,7.04,7.1,7.1,7.04,133428.06,0.06,0.85,7.09,7.107,7.16,124214.14,115555.87,135295.03,0.25
2017-08-24,7.1,7.11,7.04,7.03,117375.71,-0.07,-0.98,7.092,7.108,7.168,116239.16,117295.55,134146.22,0.22
2017-08-23,7.1,7.12,7.11,7.08,92609.58,0.03,0.42,7.11,7.119,7.18,119022.12,116334.27,138590.47,0.17
2017-08-22,7.11,7.12,7.08,7.07,130502.02,-0.04,-0.56,7.108,7.125,7.19,120250.22,116727.05,150922.79,0.24
2017-08-21,7.09,7.12,7.12,7.08,147155.34,0.01,0.14,7.116,7.134,7.198,114589.21,115581.03,151381.51,0.27
2017-08-18,7.11,7.14,7.11,7.08,93553.17,-0.02,-0.28,7.124,7.14,7.205,106897.61,110642.05,156961.13,0.17
2017-08-17,7.08,7.14,7.13,7.08,131290.48,0.03,0.42,7.124,7.146,7.209,118351.93,118502.37,162996.45,0.24
2017-08-16,7.11,7.12,7.1,7.08,98750.11,-0.02,-0.28,7.128,7.16,7.209,113646.43,120504.95,163262.73,0.18
2017-08-15,7.17,7.19,7.12,7.11,102196.94,-0.04,-0.56,7.142,7.179,7.211,113203.87,139189.7,167468.29,0.19
2017-08-14,7.1,7.17,7.16,7.08,108697.33,0.05,0.7,7.152,7.196,7.209,116572.85,142367.62,168512.39,0.2
2017-08-11,7.12,7.14,7.11,7.04,150824.77,-0.04,-0.56,7.156,7.213,7.206,114386.49,155034.18,173254.9,0.28
2017-08-10,7.15,7.18,7.15,7.14,107763.0,-0.02,-0.28,7.168,7.227,7.211,118652.81,150996.9,172460.31,0.2
2017-08-09,7.17,7.19,7.17,7.14,96537.32,0.0,0.0,7.192,7.241,7.214,127363.47,160846.68,174367.23,0.18
2017-08-08,7.18,7.2,7.17,7.13,119041.83,-0.01,-0.14,7.216,7.254,7.215,165175.54,185118.53,177682.45,0.22
2017-08-07,7.17,7.2,7.18,7.15,97765.53,0.01,0.14,7.24,7.261,7.218,168162.39,187181.99,178969.63,0.18
2017-08-04,7.27,7.31,7.17,7.16,172156.36,-0.1,-1.38,7.27,7.27,7.222,195681.86,203280.2,180231.13,0.32
2017-08-03,7.27,7.33,7.27,7.26,151316.3,-0.02,-0.27,7.286,7.272,7.228,183340.98,207490.52,182221.68,0.28
2017-08-02,7.27,7.46,7.29,7.26,285597.66,0.0,0.0,7.29,7.257,7.227,194329.88,206020.51,181123.39,0.52
2017-08-01,7.31,7.33,7.29,7.27,133976.12,-0.04,-0.55,7.292,7.242,7.226,205061.51,195746.88,173234.22,0.25
2017-07-31,7.27,7.34,7.33,7.22,235362.88,0.08,1.1,7.282,7.222,7.223,206201.59,194657.15,172758.39,0.43
2017-07-28,7.28,7.29,7.25,7.25,110451.96,-0.04,-0.55,7.27,7.199,7.219,210878.54,191475.63,165571.0,0.2
2017-07-27,7.27,7.34,7.29,7.22,206260.8,-0.01,-0.14,7.258,7.194,7.218,231640.06,193923.73,165387.17,0.38
2017-07-26,7.29,7.36,7.3,7.24,339255.81,0.06,0.83,7.224,7.186,7.218,217711.14,187887.77,159034.33,0.62
2017-07-25,7.24,7.27,7.24,7.18,139676.52,-0.03,-0.41,7.192,7.175,7.217,186432.24,170246.38,148284.28,0.26
2017-07-24,7.2,7.3,7.27,7.16,258747.62,0.08,1.11,7.162,7.174,7.22,183112.72,170757.27,149382.67,0.48
2017-07-21,7.12,7.25,7.19,7.1,214259.56,0.07,0.98,7.128,7.174,7.221,172072.71,157182.07,146474.11,0.39
2017-07-20,7.15,7.16,7.12,7.11,136616.2,-0.02,-0.28,7.13,7.183,7.226,156207.4,156952.83,148788.21,0.25
2017-07-19,7.1,7.16,7.14,7.07,182861.3,0.05,0.7,7.148,7.196,7.236,158064.41,156226.27,151656.36,0.34
2017-07-18,7.07,7.19,7.09,7.05,123078.9,-0.01,-0.14,7.158,7.209,7.249,154060.53,150721.56,147996.75,0.23
2017-07-17,7.16,7.26,7.1,7.01,203547.61,-0.1,-1.39,7.186,7.224,7.266,158401.83,150859.62,147897.84,0.37
2017-07-14,7.23,7.23,7.2,7.13,134933.0,-0.01,-0.14,7.22,7.238,7.281,142291.42,139666.36,144246.57,0.25
2017-07-13,7.19,7.24,7.21,7.14,145901.22,0.02,0.28,7.236,7.242,7.29,157698.26,136850.62,144251.61,0.27
2017-07-12,7.21,7.23,7.19,7.13,162841.91,-0.04,-0.55,7.244,7.249,7.296,154388.14,130180.88,142128.0,0.3
2017-07-11,7.25,7.27,7.23,7.21,144785.41,-0.04,-0.55,7.26,7.258,7.302,147382.6,126322.18,138667.12,0.27
2017-07-10,7.3,7.3,7.27,7.26,122995.54,-0.01,-0.14,7.262,7.265,7.306,143317.41,128008.06,138618.23,0.23
2017-07-07,7.24,7.32,7.28,7.19,211967.22,0.03,0.41,7.256,7.268,7.307,137041.31,135766.15,142833.38,0.39
2017-07-06,7.28,7.28,7.25,7.21,129350.64,-0.02,-0.28,7.248,7.268,7.313,116002.97,140623.58,144379.76,0.24
2017-07-05,7.24,7.29,7.27,7.21,127814.19,0.03,0.41,7.254,7.276,7.327,105973.61,147086.44,145583.85,0.23
2017-07-04,7.24,7.3,7.24,7.22,124459.48,0.0,0.0,7.256,7.289,7.344,105261.76,145271.93,151438.25,0.23
2017-07-03,7.22,7.25,7.24,7.21,91615.02,0.0,0.0,7.268,7.307,7.358,112698.71,144936.06,158425.31,0.17
