code,name,year,report_date,divi,shares
2592,八菱科技,2015,2016-04-22,2,0
601113,华鼎股份,2015,2016-04-22,0.5,0
601218,吉鑫科技,2015,2016-04-22,0.2,0
2579,中京电子,2015,2016-04-22,0.3,0
2698,博实股份,2015,2016-04-22,0.7,0
300198,纳川股份,2015,2016-04-22,0.1,0
2609,捷顺科技,2015,2016-04-22,1,0
300165,天瑞仪器,2015,2016-04-22,1,10
300153,科泰电源,2015,2016-04-22,1,0
2528,英飞拓,2015,2016-04-22,0,3
2519,银河电子,2015,2016-04-22,2.5,0
2498,汉缆股份,2015,2016-04-22,0.4,0
2615,哈尔斯,2015,2016-04-22,0.5,5
2477,雏鹰农牧,2015,2016-04-22,1.2,20
2475,立讯精密,2015,2016-04-22,0.9,5
2614,奥佳华,2015,2016-04-22,1,0
300129,泰胜风能,2015,2016-04-22,0.5,0
300113,顺网科技,2015,2016-04-22,2.5,13
2445,中南文化,2015,2016-04-22,0.1,0
2440,闰土股份,2015,2016-04-22,4,0
300061,康旗股份,2015,2016-04-22,0.2,0
2394,联发股份,2015,2016-04-22,3,0
2375,亚厦股份,2015,2016-04-22,0.6,0
2352,顺丰控股,2015,2016-04-22,1.4,10
2309,中利集团,2015,2016-04-22,1,0
300042,朗科科技,2015,2016-04-22,1,0
300064,豫金刚石,2015,2016-04-22,0.2,0
2556,辉隆股份,2015,2016-04-22,1,5
2782,可立克,2015,2016-04-22,1,15
300108,吉药控股,2015,2016-04-22,1,5
603188,亚邦股份,2015,2016-04-22,5,0
2446,盛路通信,2015,2016-04-22,0.4,0
2251,步步高,2015,2016-04-22,1.5,0
601777,力帆股份,2015,2016-04-22,1,0
2420,毅昌股份,2015,2016-04-22,0.1,0
2227,奥特迅,2015,2016-04-22,0.2,0
2204,大连重工,2015,2016-04-22,0.2,10
2197,证通电子,2015,2016-04-22,0.6,0
2328,新朋股份,2015,2016-04-22,0.5,0
2157,正邦科技,2015,2016-04-22,1,0
2216,三全食品,2015,2016-04-22,0.1,0
2112,三变科技,2015,2016-04-22,0.1,0
2154,报喜鸟,2015,2016-04-22,0.1,0
2287,奇正藏药,2015,2016-04-22,4.1,0
2073,软控股份,2015,2016-04-22,0.3,0
601168,西部矿业,2015,2016-04-22,0.5,0
2185,华天科技,2015,2016-04-22,0.6,3
2088,鲁阳节能,2015,2016-04-22,1,0
2771,真视通,2015,2016-04-22,3,0
2500,山西证券,2015,2016-04-22,2,0
2045,国光电器,2015,2016-04-22,0.8,0
2044,美年健康,2015,2016-04-22,0,10
2035,华帝股份,2015,2016-04-22,4,0
2027,分众传媒,2015,2016-04-22,2.5,10
600983,惠而浦,2015,2016-04-22,0.6,0
2004,华邦健康,2015,2016-04-22,2,0
600545,新疆城建,2015,2016-04-22,0.5,0
600475,华光股份,2015,2016-04-22,1.4,0
600481,双良节能,2015,2016-04-22,1,0
600513,联环药业,2015,2016-04-22,0.6,3
989,九芝堂,2015,2016-04-22,4,1.5
937,冀中能源,2015,2016-04-22,0.1,0
917,电广传媒,2015,2016-04-22,0.4,0
600804,鹏博士,2015,2016-04-22,1.6,0
600759,洲际油气,2015,2016-04-22,0.2,0
600755,厦门国贸,2015,2016-04-22,1,0
417,合肥百货,2015,2016-04-22,1.2,0
600893,航发动力,2015,2016-04-22,1.6,0
600634,富控互动,2015,2016-04-22,0.7,0
600522,中天科技,2015,2016-04-22,1,15
600277,亿利洁能,2015,2016-04-22,0.4,0
600197,伊力特,2015,2016-04-22,4,0
600138,中青旅,2015,2016-04-22,1,0
600104,上汽集团,2015,2016-04-22,13.6,0
2610,爱康科技,2016,2016-04-22,0,30
300506,名家汇,2015,2016-04-23,1,0
603800,道森股份,2015,2016-04-23,1,0
603520,司太立,2015,2016-04-23,3,0
300468,四方精创,2015,2016-04-23,1.6,0
300492,山鼎设计,2015,2016-04-23,1.5,0
603117,万林股份,2015,2016-04-23,1,0
300433,蓝思科技,2015,2016-04-23,10,20
300374,恒通科技,2015,2016-04-23,0.3,0
2773,康弘药业,2015,2016-04-23,2,5
300369,绿盟科技,2015,2016-04-23,1.1,0
300413,快乐购,2015,2016-04-23,0.6,0
2679,福建金森,2015,2016-04-23,0.9,0
300308,中际旭创,2015,2016-04-23,0.1,0
300310,宜通世纪,2015,2016-04-23,0.5,6
300350,华鹏飞,2015,2016-04-23,0.5,0
2651,利君股份,2015,2016-04-23,0.6,0
2646,青青稞酒,2015,2016-04-23,1.8,0
2632,道明光学,2015,2016-04-23,0.5,10
2731,萃华珠宝,2015,2016-04-23,0.8,0
2625,光启技术,2015,2016-04-23,0.2,0
300265,通光线缆,2015,2016-04-23,0.5,0
2620,瑞和股份,2015,2016-04-23,1.5,0
300248,新开普,2015,2016-04-23,0.5,0
300366,创意信息,2015,2016-04-23,0,5
300182,捷成股份,2015,2016-04-23,0.9,5
2540,亚太科技,2015,2016-04-23,0.5,0
300151,昌红科技,2015,2016-04-23,0.3,0
603123,翠微股份,2015,2016-04-23,1.4,0
300119,瑞普生物,2015,2016-04-23,1.5,0
300128,锦富技术,2015,2016-04-23,0.1,0
2527,新时达,2015,2016-04-23,1.1,0
300106,西部牧业,2015,2016-04-23,0.1,0
300173,智慧松德,2015,2016-04-23,0.4,0
2421,达实智能,2015,2016-04-23,0.5,0
2339,积成电子,2015,2016-04-23,0.6,0
300035,中科电气,2015,2016-04-23,2,0
601888,中国国旅,2015,2016-04-23,5,0
300038,梅泰诺,2015,2016-04-23,0.3,0
2271,东方雨虹,2015,2016-04-23,1,0
2218,拓日新能,2015,2016-04-23,0.5,0
601999,出版传媒,2015,2016-04-23,0.4,0
2201,九鼎新材,2015,2016-04-23,0.1,0
2162,悦心健康,2015,2016-04-23,0,3
2133,广宇集团,2015,2016-04-23,0.8,0
2081,金螳螂,2015,2016-04-23,2,5
2308,威创股份,2015,2016-04-23,0.2,0
2078,太阳纸业,2015,2016-04-23,0.5,0
2089,新海宜,2015,2016-04-23,0.3,0
2146,荣盛发展,2015,2016-04-23,2.5,0
600973,宝胜股份,2015,2016-04-23,0.9,6
600975,新五丰,2015,2016-04-23,0.5,10
600467,好当家,2015,2016-04-23,0.2,10
967,盈峰环境,2015,2016-04-23,0.4,5
